dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc
Cifar10,142,Which_one,1,MLP,MAE_LOSS,1.30132937,0.32132,0.3178
Cifar10,143,Which_one,1,MLP,MAE_LOSS,1.324866533,0.335,0.3382
Cifar10,144,Which_one,1,MLP,MAE_LOSS,1.279248794,0.32852,0.3305
Cifar10,145,Which_one,1,MLP,MAE_LOSS,1.299024946,0.34242,0.3423
Cifar10,146,Which_one,1,MLP,MAE_LOSS,1.297435253,0.32934,0.3334
Cifar10,147,Which_one,1,MLP,MAE_LOSS,1.259182022,0.34356,0.3425
Cifar10,148,Which_one,1,MLP,MAE_LOSS,1.289551432,0.32966,0.3248
Cifar10,149,Which_one,1,MLP,MAE_LOSS,1.269582072,0.34182,0.3381
Cifar10,150,Which_one,1,MLP,MAE_LOSS,1.275234829,0.32428,0.3221
Cifar10,151,Which_one,1,MLP,MAE_LOSS,1.304033188,0.3407,0.3363
Cifar10,152,Which_one,1,MLP,MAE_LOSS,1.259834828,0.32784,0.3255
Cifar10,153,Which_one,1,MLP,MAE_LOSS,1.272331787,0.33926,0.3296
Cifar10,154,Which_one,1,MLP,MAE_LOSS,1.272905839,0.32296,0.3205
Cifar10,155,Which_one,1,MLP,MAE_LOSS,1.306125604,0.3352,0.3299
Cifar10,156,Which_one,1,MLP,MAE_LOSS,1.288963845,0.33782,0.3334
Cifar10,157,Which_one,1,MLP,MAE_LOSS,1.29233556,0.3426,0.3372
Cifar10,158,Which_one,1,MLP,MAE_LOSS,1.287310902,0.34068,0.3333
Cifar10,159,Which_one,1,MLP,MAE_LOSS,1.267344001,0.34742,0.3466
Cifar10,160,Which_one,1,MLP,MAE_LOSS,1.267706488,0.3346,0.3263
Cifar10,161,Which_one,1,MLP,MAE_LOSS,1.274193784,0.3223,0.3258
Cifar10,162,Which_one,1,MLP,MAE_LOSS,1.286126854,0.34524,0.3444
Cifar10,163,Which_one,1,MLP,MAE_LOSS,1.270820981,0.34172,0.3464
Cifar10,164,Which_one,1,MLP,MAE_LOSS,1.276611138,0.33612,0.336
Cifar10,165,Which_one,1,MLP,MAE_LOSS,1.285169674,0.32476,0.3289
Cifar10,166,Which_one,1,MLP,MAE_LOSS,1.361127842,0.31766,0.3155
Cifar10,167,Which_one,1,MLP,MAE_LOSS,1.296875479,0.34138,0.3398
Cifar10,168,Which_one,1,MLP,MAE_LOSS,1.272743535,0.33864,0.3401
Cifar10,169,Which_one,1,MLP,MAE_LOSS,1.270089438,0.34,0.3436
Cifar10,170,Which_one,1,MLP,MAE_LOSS,1.301321365,0.32822,0.3292
Cifar10,171,Which_one,1,MLP,MAE_LOSS,1.310777455,0.34522,0.3456
Cifar10,172,Which_one,1,MLP,MAE_LOSS,1.259290825,0.34364,0.3445
Cifar10,173,Which_one,1,MLP,MAE_LOSS,1.255923318,0.3467,0.3481
Cifar10,174,Which_one,1,MLP,MAE_LOSS,1.284713695,0.32506,0.3288
Cifar10,175,Which_one,1,MLP,MAE_LOSS,1.298254196,0.3327,0.336
Cifar10,176,Which_one,1,MLP,MAE_LOSS,1.288636009,0.33244,0.3283
Cifar10,177,Which_one,1,MLP,MAE_LOSS,1.281916504,0.3318,0.3314
Cifar10,178,Which_one,1,MLP,MAE_LOSS,1.294744315,0.33374,0.3332
Cifar10,179,Which_one,1,MLP,MAE_LOSS,1.34080993,0.31466,0.3156
Cifar10,180,Which_one,1,MLP,MAE_LOSS,1.315759127,0.33648,0.3352
Cifar10,181,Which_one,1,MLP,MAE_LOSS,1.297486151,0.33734,0.3341
Cifar10,182,Which_one,1,MLP,MAE_LOSS,1.284724786,0.3431,0.3412
Cifar10,183,Which_one,1,MLP,MAE_LOSS,1.264720494,0.33484,0.3355
Cifar10,184,Which_one,1,MLP,MAE_LOSS,1.268380132,0.3558,0.3549
Cifar10,185,Which_one,1,MLP,MAE_LOSS,1.248061607,0.34996,0.3492
Cifar10,186,Which_one,1,MLP,MAE_LOSS,1.26498784,0.34598,0.3427
Cifar10,187,Which_one,1,MLP,MAE_LOSS,1.254445984,0.35418,0.3491
Cifar10,188,Which_one,1,MLP,MAE_LOSS,1.279570145,0.32638,0.3215
Cifar10,189,Which_one,1,MLP,MAE_LOSS,1.311372584,0.31756,0.312
Cifar10,190,Which_one,1,MLP,MAE_LOSS,1.26153968,0.35842,0.3505
Cifar10,191,Which_one,1,MLP,MAE_LOSS,1.276921854,0.35404,0.3524
Cifar10,192,Which_one,1,MLP,MAE_LOSS,1.26084258,0.35232,0.3552
Cifar10,193,Which_one,1,MLP,MAE_LOSS,1.257315573,0.33994,0.3369
Cifar10,194,Which_one,1,MLP,MAE_LOSS,1.251312284,0.35386,0.3554
Cifar10,195,Which_one,1,MLP,MAE_LOSS,1.226672098,0.35002,0.3486
Cifar10,196,Which_one,1,MLP,MAE_LOSS,1.251704113,0.34858,0.3492
Cifar10,197,Which_one,1,MLP,MAE_LOSS,1.234049418,0.3486,0.3422
Cifar10,198,Which_one,1,MLP,MAE_LOSS,1.241738237,0.35316,0.3517
Cifar10,199,Which_one,1,MLP,MAE_LOSS,1.217091148,0.3405,0.3355
Cifar10,200,Which_one,1,MLP,MAE_LOSS,1.234418732,0.35234,0.3462
Cifar10,201,Which_one,1,MLP,MAE_LOSS,1.216887137,0.34864,0.3433
Cifar10,202,Which_one,1,MLP,MAE_LOSS,1.210272297,0.34782,0.3474
Cifar10,203,Which_one,1,MLP,MAE_LOSS,1.202224164,0.35746,0.356
Cifar10,204,Which_one,1,MLP,MAE_LOSS,1.186278253,0.34438,0.3372
Cifar10,205,Which_one,1,MLP,MAE_LOSS,1.198103119,0.35476,0.3495
Cifar10,206,Which_one,1,MLP,MAE_LOSS,1.219270688,0.33498,0.3332
Cifar10,207,Which_one,1,MLP,MAE_LOSS,1.279921802,0.33284,0.3267
Cifar10,208,Which_one,1,MLP,MAE_LOSS,1.249750419,0.33766,0.3315
Cifar10,209,Which_one,1,MLP,MAE_LOSS,1.224646789,0.3555,0.3524
Cifar10,210,Which_one,1,MLP,MAE_LOSS,1.221803342,0.3466,0.3437
Cifar10,211,Which_one,1,MLP,MAE_LOSS,1.207423018,0.3512,0.3447
Cifar10,212,Which_one,1,MLP,MAE_LOSS,1.20840964,0.34086,0.339
Cifar10,213,Which_one,1,MLP,MAE_LOSS,1.24715356,0.34564,0.345
Cifar10,214,Which_one,1,MLP,MAE_LOSS,1.219453022,0.35198,0.3517
Cifar10,215,Which_one,1,MLP,MAE_LOSS,1.197763133,0.35614,0.3531
Cifar10,216,Which_one,1,MLP,MAE_LOSS,1.221566241,0.34436,0.3452
Cifar10,217,Which_one,1,MLP,MAE_LOSS,1.240166592,0.35576,0.3554
Cifar10,218,Which_one,1,MLP,MAE_LOSS,1.191882368,0.3616,0.3635
Cifar10,219,Which_one,1,MLP,MAE_LOSS,1.185160333,0.35664,0.3535
Cifar10,220,Which_one,1,MLP,MAE_LOSS,1.191282746,0.34762,0.3471
Cifar10,221,Which_one,1,MLP,MAE_LOSS,1.226650641,0.33142,0.3243
Cifar10,222,Which_one,1,MLP,MAE_LOSS,1.224464597,0.35054,0.3467
Cifar10,223,Which_one,1,MLP,MAE_LOSS,1.198863308,0.35518,0.3504
Cifar10,224,Which_one,1,MLP,MAE_LOSS,1.193258799,0.3592,0.3557
Cifar10,225,Which_one,1,MLP,MAE_LOSS,1.195752289,0.35498,0.3567
Cifar10,226,Which_one,1,MLP,MAE_LOSS,1.208036227,0.32524,0.3228
Cifar10,227,Which_one,1,MLP,MAE_LOSS,1.251727747,0.33268,0.3316
Cifar10,228,Which_one,1,MLP,MAE_LOSS,1.202498185,0.34736,0.3475
Cifar10,229,Which_one,1,MLP,MAE_LOSS,1.19968973,0.34594,0.3448
Cifar10,230,Which_one,1,MLP,MAE_LOSS,1.179387117,0.36356,0.363
Cifar10,231,Which_one,1,MLP,MAE_LOSS,1.162780022,0.35978,0.362
Cifar10,232,Which_one,1,MLP,MAE_LOSS,1.188684668,0.3481,0.3434
Cifar10,233,Which_one,1,MLP,MAE_LOSS,1.194076693,0.35348,0.354
Cifar10,234,Which_one,1,MLP,MAE_LOSS,1.230702804,0.3396,0.3343
Cifar10,235,Which_one,1,MLP,MAE_LOSS,1.207924671,0.34654,0.3454
Cifar10,236,Which_one,1,MLP,MAE_LOSS,1.261164784,0.3544,0.3511
Cifar10,237,Which_one,1,MLP,MAE_LOSS,1.191845023,0.36168,0.3558
Cifar10,238,Which_one,1,MLP,MAE_LOSS,1.183761949,0.359,0.356
Cifar10,239,Which_one,1,MLP,MAE_LOSS,1.210013604,0.35048,0.3488
Cifar10,240,Which_one,1,MLP,MAE_LOSS,1.20110278,0.3544,0.3517
Cifar10,241,Which_one,1,MLP,MAE_LOSS,1.203947259,0.34718,0.3424
Cifar10,242,Which_one,1,MLP,MAE_LOSS,1.216760271,0.3276,0.3218
Cifar10,243,Which_one,1,MLP,MAE_LOSS,1.245701857,0.34276,0.3434
Cifar10,244,Which_one,1,MLP,MAE_LOSS,1.211411199,0.35736,0.3588
Cifar10,245,Which_one,1,MLP,MAE_LOSS,1.189534799,0.35084,0.3476
Cifar10,246,Which_one,1,MLP,MAE_LOSS,1.167728796,0.3534,0.3458
Cifar10,247,Which_one,1,MLP,MAE_LOSS,1.231934568,0.35236,0.347
Cifar10,248,Which_one,1,MLP,MAE_LOSS,1.202118279,0.3413,0.3346
Cifar10,249,Which_one,1,MLP,MAE_LOSS,1.209278658,0.35914,0.3502
Cifar10,250,Which_one,1,MLP,MAE_LOSS,1.173946949,0.33562,0.3271
