dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc,label_size_i,label_size_comp,label_size_cand
MNIST,81,Which_one,1,MLP,MAE_LOSS,-0.35333432964980604,0.916,0.9118,1049.0,8951.0,
MNIST,82,Which_one,1,MLP,MAE_LOSS,-0.35927086770534516,0.9164,0.9135,1049.0,8951.0,
MNIST,83,Which_one,1,MLP,MAE_LOSS,-0.4199487820267677,0.9135,0.9102,1049.0,8951.0,
MNIST,84,Which_one,1,MLP,MAE_LOSS,-0.3436827719211578,0.9144,0.9109,1049.0,8951.0,
MNIST,85,Which_one,1,MLP,MAE_LOSS,-0.37793503478169443,0.9148,0.9082,1049.0,8951.0,
MNIST,86,Which_one,1,MLP,MAE_LOSS,-0.38597078025341036,0.9178,0.9131,1049.0,8951.0,
MNIST,87,Which_one,1,MLP,MAE_LOSS,-0.35150565579533577,0.9148,0.9096,1049.0,8951.0,
MNIST,88,Which_one,1,MLP,MAE_LOSS,-0.31392505019903183,0.9188,0.912,1049.0,8951.0,
MNIST,89,Which_one,1,MLP,MAE_LOSS,-0.3700067654252052,0.9167,0.9117,1049.0,8951.0,
MNIST,90,Which_one,1,MLP,MAE_LOSS,-0.3912759430706501,0.9181,0.9125,1049.0,8951.0,
MNIST,91,Which_one,1,MLP,MAE_LOSS,-0.33539163172245023,0.9181,0.9127,1049.0,8951.0,
MNIST,92,Which_one,1,MLP,MAE_LOSS,-0.34923379868268967,0.9173,0.9129,1049.0,8951.0,
MNIST,93,Which_one,1,MLP,MAE_LOSS,-0.28113731667399405,0.9173,0.9127,1049.0,8951.0,
MNIST,94,Which_one,1,MLP,MAE_LOSS,-0.3225764840841293,0.9176,0.9115,1049.0,8951.0,
MNIST,95,Which_one,1,MLP,MAE_LOSS,-0.42589345276355745,0.9183,0.9142,1049.0,8951.0,
MNIST,96,Which_one,1,MLP,MAE_LOSS,-0.42612292170524596,0.9185,0.9128,1049.0,8951.0,
MNIST,97,Which_one,1,MLP,MAE_LOSS,-0.33696203753352166,0.9194,0.9138,1049.0,8951.0,
MNIST,98,Which_one,1,MLP,MAE_LOSS,-0.35698866844177246,0.9186,0.9135,1049.0,8951.0,
MNIST,99,Which_one,1,MLP,MAE_LOSS,-0.39230011254549024,0.9193,0.9136,1049.0,8951.0,
MNIST,100,Which_one,1,MLP,MAE_LOSS,-0.3371226489543915,0.9186,0.9141,1049.0,8951.0,
MNIST,101,Which_one,1,MLP,MAE_LOSS,-0.4120687127113342,0.9186,0.9137,1049.0,8951.0,
MNIST,102,Which_one,1,MLP,MAE_LOSS,-0.3844869390130043,0.9189,0.9135,1049.0,8951.0,
MNIST,103,Which_one,1,MLP,MAE_LOSS,-0.37673804387450216,0.919,0.9152,1049.0,8951.0,
MNIST,104,Which_one,1,MLP,MAE_LOSS,-0.4198187977075577,0.9187,0.9142,1049.0,8951.0,
MNIST,105,Which_one,1,MLP,MAE_LOSS,-0.43964109644293786,0.9192,0.9148,1049.0,8951.0,
MNIST,106,Which_one,1,MLP,MAE_LOSS,-0.33623470962047575,0.9195,0.914,1049.0,8951.0,
MNIST,107,Which_one,1,MLP,MAE_LOSS,-0.33704906776547433,0.9191,0.9139,1049.0,8951.0,
MNIST,108,Which_one,1,MLP,MAE_LOSS,-0.4042628973722458,0.9197,0.915,1049.0,8951.0,
MNIST,109,Which_one,1,MLP,MAE_LOSS,-0.34392925798892976,0.9189,0.9149,1049.0,8951.0,
MNIST,110,Which_one,1,MLP,MAE_LOSS,-0.4128200337290764,0.9191,0.9134,1049.0,8951.0,
MNIST,111,Which_one,1,MLP,MAE_LOSS,-0.33707544282078744,0.9198,0.9154,1049.0,8951.0,
MNIST,112,Which_one,1,MLP,MAE_LOSS,-0.36465194821357727,0.9192,0.9154,1049.0,8951.0,
MNIST,113,Which_one,1,MLP,MAE_LOSS,-0.32841230779886244,0.9201,0.9153,1049.0,8951.0,
MNIST,114,Which_one,1,MLP,MAE_LOSS,-0.35774008445441724,0.9207,0.9145,1049.0,8951.0,
MNIST,115,Which_one,1,MLP,MAE_LOSS,-0.3499522231519222,0.9191,0.9139,1049.0,8951.0,
MNIST,116,Which_one,1,MLP,MAE_LOSS,-0.36466556042432785,0.9203,0.9149,1049.0,8951.0,
MNIST,117,Which_one,1,MLP,MAE_LOSS,-0.37837662398815153,0.9196,0.914,1049.0,8951.0,
MNIST,118,Which_one,1,MLP,MAE_LOSS,-0.37154974341392516,0.9195,0.9162,1049.0,8951.0,
MNIST,119,Which_one,1,MLP,MAE_LOSS,-0.3577074160799384,0.9209,0.9157,1049.0,8951.0,
MNIST,120,Which_one,1,MLP,MAE_LOSS,-0.3637266255915165,0.9203,0.9151,1049.0,8951.0,
MNIST,121,Which_one,1,MLP,MAE_LOSS,-0.3784126631915569,0.9201,0.9154,1049.0,8951.0,
MNIST,122,Which_one,1,MLP,MAE_LOSS,-0.43350602835416796,0.9202,0.9147,1049.0,8951.0,
MNIST,123,Which_one,1,MLP,MAE_LOSS,-0.2802387237548828,0.9201,0.9144,1049.0,8951.0,
MNIST,124,Which_one,1,MLP,MAE_LOSS,-0.3577835546806455,0.9206,0.9156,1049.0,8951.0,
MNIST,125,Which_one,1,MLP,MAE_LOSS,-0.38449013233184814,0.921,0.9158,1049.0,8951.0,
MNIST,126,Which_one,1,MLP,MAE_LOSS,-0.4328099973499775,0.9201,0.9159,1049.0,8951.0,
MNIST,127,Which_one,1,MLP,MAE_LOSS,-0.36381874084472654,0.9206,0.9156,1049.0,8951.0,
MNIST,128,Which_one,1,MLP,MAE_LOSS,-0.33622740507125853,0.9208,0.9158,1049.0,8951.0,
MNIST,129,Which_one,1,MLP,MAE_LOSS,-0.3293280638754368,0.9214,0.9147,1049.0,8951.0,
MNIST,130,Which_one,1,MLP,MAE_LOSS,-0.35775904878973963,0.9216,0.9154,1049.0,8951.0,
MNIST,131,Which_one,1,MLP,MAE_LOSS,-0.3509281188249588,0.9213,0.9151,1049.0,8951.0,
MNIST,132,Which_one,1,MLP,MAE_LOSS,-0.4112514525651932,0.9212,0.9148,1049.0,8951.0,
MNIST,133,Which_one,1,MLP,MAE_LOSS,-0.37078683972358706,0.9211,0.9153,1049.0,8951.0,
MNIST,134,Which_one,1,MLP,MAE_LOSS,-0.33536956906318666,0.9209,0.9146,1049.0,8951.0,
MNIST,135,Which_one,1,MLP,MAE_LOSS,-0.4050072282552719,0.9209,0.9154,1049.0,8951.0,
MNIST,136,Which_one,1,MLP,MAE_LOSS,-0.43359890431165693,0.9207,0.9145,1049.0,8951.0,
MNIST,137,Which_one,1,MLP,MAE_LOSS,-0.42570765763521196,0.9184,0.9134,1049.0,8951.0,
MNIST,138,Which_one,1,MLP,MAE_LOSS,-0.3247215420007706,0.9099,0.9031,1049.0,8951.0,
MNIST,139,Which_one,1,MLP,MAE_LOSS,-0.2818705663084984,0.9127,0.903,1049.0,8951.0,
MNIST,140,Which_one,1,MLP,MAE_LOSS,-0.3141088090837002,0.9153,0.9077,1049.0,8951.0,
MNIST,141,Which_one,1,MLP,MAE_LOSS,-0.33992637172341345,0.9197,0.9101,1049.0,8951.0,
MNIST,142,Which_one,1,MLP,MAE_LOSS,-0.38051954805850985,0.92,0.9125,1049.0,8951.0,
MNIST,143,Which_one,1,MLP,MAE_LOSS,-0.3264307454228401,0.9212,0.914,1049.0,8951.0,
MNIST,144,Which_one,1,MLP,MAE_LOSS,-0.3558739099651575,0.9223,0.9124,1049.0,8951.0,
MNIST,145,Which_one,1,MLP,MAE_LOSS,-0.3935289204120636,0.9241,0.9168,1049.0,8951.0,
MNIST,146,Which_one,1,MLP,MAE_LOSS,-0.3659634567797184,0.9241,0.9171,1049.0,8951.0,
MNIST,147,Which_one,1,MLP,MAE_LOSS,-0.3929514899849892,0.9245,0.9165,1049.0,8951.0,
MNIST,148,Which_one,1,MLP,MAE_LOSS,-0.35166197419166567,0.9246,0.9164,1049.0,8951.0,
MNIST,149,Which_one,1,MLP,MAE_LOSS,-0.40851784572005273,0.9245,0.9171,1049.0,8951.0,
MNIST,150,Which_one,1,MLP,MAE_LOSS,-0.3809547320008278,0.9246,0.9169,1049.0,8951.0,
MNIST,151,Which_one,1,MLP,MAE_LOSS,-0.35336919873952866,0.9247,0.9171,1049.0,8951.0,
MNIST,152,Which_one,1,MLP,MAE_LOSS,-0.37318396270275117,0.9246,0.9172,1049.0,8951.0,
MNIST,153,Which_one,1,MLP,MAE_LOSS,-0.3878097511827946,0.9244,0.9171,1049.0,8951.0,
MNIST,154,Which_one,1,MLP,MAE_LOSS,-0.34556383788585665,0.9244,0.9171,1049.0,8951.0,
MNIST,155,Which_one,1,MLP,MAE_LOSS,-0.33262854516506196,0.9246,0.9166,1049.0,8951.0,
MNIST,156,Which_one,1,MLP,MAE_LOSS,-0.39464206993579865,0.9245,0.9166,1049.0,8951.0,
MNIST,157,Which_one,1,MLP,MAE_LOSS,-0.33689395934343336,0.9247,0.9161,1049.0,8951.0,
MNIST,158,Which_one,1,MLP,MAE_LOSS,-0.3394573986530304,0.9245,0.9167,1049.0,8951.0,
